Date,Close
2020-11-20,2555.50
2020-11-23,2595.25
2020-11-24,2609.01
2020-11-25,2600.24
2020-11-27,2631.56
2020-11-30,2663.49
2020-12-01,2709.73
2020-12-02,2716.35
2020-12-03,2716.15
2020-12-04,2793.03
2020-12-07,2806.61
2020-12-08,2816.27
2020-12-09,2734.77
2020-12-10,2733.67
2020-12-11,2704.08
2020-12-14,2736.25
2020-12-15,2774.79
2020-12-16,2773.42
2020-12-17,2778.14
2020-12-18,2764.74
2020-12-21,2747.29
2020-12-22,2743.97
2020-12-23,2723.53
2020-12-24,2750.24
2020-12-28,2744.30
2020-12-29,2738.05
2020-12-30,2783.77
2020-12-31,2795.50
2021-01-04,2783.21
2021-01-05,2837.17
2021-01-06,2827.96
2021-01-07,2937.00
2021-01-08,2936.47
2021-01-11,2969.92
2021-01-12,2988.02
2021-01-13,2991.95
2021-01-14,3055.64
2021-01-15,2992.77
2021-01-19,3093.32
2021-01-20,3085.04
2021-01-21,3132.17
2021-01-22,3074.40
2021-01-25,3079.21
2021-01-26,3031.77
2021-01-27,2875.13
2021-01-28,2935.12
2021-01-29,2887.08
2021-02-01,2999.99
2021-02-02,3047.33
2021-02-03,2982.87
2021-02-04,3008.42
2021-02-05,2985.01
2021-02-08,3078.48
2021-02-09,3064.95
2021-02-10,3074.86
2021-02-11,3180.84
2021-02-12,3219.87
2021-02-16,3238.92
2021-02-17,3178.24
2021-02-18,3146.79
2021-02-19,3223.46
2021-02-22,3102.01
2021-02-23,3083.88
2021-02-24,3183.74
2021-02-25,2999.16
2021-02-26,3067.62
2021-03-01,3169.11
2021-03-02,3070.94
2021-03-03,2975.58
2021-03-04,2831.63
2021-03-05,2920.75
2021-03-08,2762.75
2021-03-09,2932.21
2021-03-10,2879.32
2021-03-11,2997.13
2021-03-12,2965.09
2021-03-15,3032.05
2021-03-16,3070.32
2021-03-17,3107.92
2021-03-18,2976.22
2021-03-19,3011.37
2021-03-22,3077.55
2021-03-23,2994.21
2021-03-24,2953.97
2021-03-25,2959.88
2021-03-26,3106.28
2021-03-29,3054.63
2021-03-30,3044.55
2021-03-31,3124.94
2021-04-01,3240.17
2021-04-05,3305.43
2021-04-06,3266.10
2021-04-07,3266.46
2021-04-08,3301.26
2021-04-09,3294.53
2021-04-12,3258.33
2021-04-13,3252.70
2021-04-14,3213.88
2021-04-15,3271.33
2021-04-16,3253.08
2021-04-19,3171.00
2021-04-20,3121.43
2021-04-21,3207.25
2021-04-22,3133.17
2021-04-23,3196.98
2021-04-26,3250.26
2021-04-27,3225.61
2021-04-28,3178.49
2021-04-29,3202.50
2021-04-30,3108.99
2021-05-03,3073.38
2021-05-04,3024.31
2021-05-05,3042.88
2021-05-06,3066.22
2021-05-07,3112.03
2021-05-10,2967.11
2021-05-11,2976.01
2021-05-12,2851.15
2021-05-13,2893.94
2021-05-14,2981.42
2021-05-17,2954.63
2021-05-18,2929.15
2021-05-19,2987.28
2021-05-20,3066.11
2021-05-21,3052.10
2021-05-24,3122.98
2021-05-25,3134.67
2021-05-26,3140.98
2021-05-27,3159.27
2021-05-28,3186.56
2021-06-01,3174.32
2021-06-02,3196.98
2021-06-03,3139.19
2021-06-04,3214.14
2021-06-07,3191.66
2021-06-08,3171.22
2021-06-09,3158.48
2021-06-10,3196.21
2021-06-11,3210.06
2021-06-14,3255.34
2021-06-15,3225.98
